מחל,32,0.2341,"1,115,336"
פה,24,0.1779,"847,435"
ט,14,0.1084,"516,470"
כן,12,0.0908,"432,482"
שס,11,0.0825,"392,964"
ג,7,0.0588,"280,194"
ל,6,0.0448,"213,687"
עם,5,0.0407,"194,047"
ום,5,0.0375,"178,735"
אמת,4,0.0369,"175,992"
מרצ,0,0.0316,"150,793"
ד,0,0.0291,"138,617"
ב,0,0.0119,"56,775"
אצ,0,0.0033,"15,801"
קץ,0,0.0031,"14,694"
יז,0,0.0029,"13,920"
צ,0,0.0018,"8,800"
ף,0,0.0004,"1,728"
ק,0,0.0003,"1,618"
ת,0,0.0003,"1,524"
ני,0,0.0003,"1,354"
קנ,0,0.0003,"1,292"
נק,0,0.0003,"1,215"
י,0,0.0002,"1,157"
קך,0,0.0002,"1,078"
נץ,0,0.0002,"1,020"
ץ,0,0.0002,988
רז,0,0.0002,939
ך,0,0.0002,746
ז,0,0.0001,430
קי,0,0.0001,415
יק,0,0.0001,411
נז,0,0.0001,350
נר,0,0.0001,334
זץ,0,0.0001,292
יץ,0,0.0001,262
נף,0,0.0001,255
ינ,0,0,234
זך,0,0,205
זנ,0,0,153
